Name,Price,Description
 Xiaomi Redmi A1+ 2/32GB (голубой) , 4 990 ₽ ," Процессор: MediaTek Helio A22 
 Количество ядер процессора: 4 
 Частота: 2.0 ГГц 
 Видеопроцессор: PowerVR GE8320 
Максимальный объем карты памяти: до 1 TБ 
 Слот для карты памяти: Отдельный 
 Оперативная память (ГБ): 2 
 Встроенная память (ГБ): 32 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, EDGE, 4G, 3G 
 Диапазоны LTE: 1800, 850, 1, 20, 2100, 3, 38, 4, 40, 41, 5, 7, 8, 900 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, ac, a 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Нет 
 Тип дисплея: IPS 
 Диагональ экрана: 6.52” 
 Разрешение дисплея: 1600 x 720 HD+ 
 Частота обновления: 90 Гц 
 Соотношение сторон: 20:9 
 Фотокамера (Мп): 8+0.3 
 Фронтальная камера (Мп): 5 
 Разрешение видеосъемки (пикс): 1080 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: распознавание лица, сканер отпечатка пальца на задней панели 
 Быстрая зарядка: 10 Вт 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Версия MIUI: 12,5 
 Версия Android: 12 Go 
 Материал: Пластик, Стекло 
 Высота (мм): 164,9 
 Ширина (мм): 76,8 
 Толщина (мм): 9,1 
 Вес (г): 192 
 Гарантия (мес): 12 "
 Xiaomi Redmi A1+ 2/32GB (зеленый) , 4 990 ₽ ," Процессор: MediaTek Helio A22 
 Количество ядер процессора: 4 
 Частота: 2.0 ГГц 
 Видеопроцессор: PowerVR GE8320 
Максимальный объем карты памяти: до 1 TБ 
 Слот для карты памяти: Отдельный 
 Оперативная память (ГБ): 2 
 Встроенная память (ГБ): 32 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, EDGE, 4G, 3G 
 Диапазоны LTE: 1800, 850, 1, 20, 2100, 3, 38, 4, 40, 41, 5, 7, 8, 900 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, ac, a 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Нет 
 Тип дисплея: IPS 
 Диагональ экрана: 6.52” 
 Разрешение дисплея: 1600 x 720 HD+ 
 Частота обновления: 90 Гц 
 Соотношение сторон: 20:9 
 Фотокамера (Мп): 8+0.3 
 Фронтальная камера (Мп): 5 
 Разрешение видеосъемки (пикс): 1080 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: распознавание лица, сканер отпечатка пальца на задней панели 
 Быстрая зарядка: 10 Вт 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Версия MIUI: 12,5 
 Версия Android: 12 Go 
 Материал: Пластик, Стекло 
 Высота (мм): 164,9 
 Ширина (мм): 76,8 
 Толщина (мм): 9,1 
 Вес (г): 192 
 Гарантия (мес): 12 "
 Xiaomi 12T 8/128GB (серебристый) , 36 990 ₽ ," Процессор: MediaTek Dimensity 8100 Ultra 
 Количество ядер процессора: 8 
 Частота: 2,85 ГГц 
 Видеопроцессор: Mali-G7610 MC6 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 128 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1900, 900, 850, 1800 
 Диапазоны LTE: 20, 28, 3, 2, 1, 5, 38, 4, 40, 41, 8, 7 
 Bluetooth: 5.3 
 Wi-Fi (802.11): g, n, b, ac, a 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.67"" 
 Разрешение дисплея: 2712х1220 
 Контрастность: 5 000 000:1 
 Соотношение сторон: 20:9 
 Яркость (кд/м²): 500 нит 
 Частота обновления: 120 Гц 
 Фотокамера (Мп): 108 + 8 + 2 
 Апертура: f/1.7 + f/2,2 + f/2.4 
 Фронтальная камера (Мп): 20 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: сканер отпечатка пальца на передней панели, распознавание лица 
 Быстрая зарядка: 120 Вт 
 Тип разъема для зарядки: USB Type-C 
 Емкость аккумулятора (мА*ч): 5000 
 Материал: Пластик, Стекло 
 Высота (мм): 163,1 
 Ширина (мм): 75,9 
 Толщина (мм): 8,6 
 Вес (г): 202 
 Версия MIUI: 13 
 Версия Android: 12 
 Страна производитель: Китай "
 Xiaomi 12T 8/128GB (черный) , 36 990 ₽ ," Процессор: MediaTek Dimensity 8100 Ultra 
 Количество ядер процессора: 8 
 Частота: 2,85 ГГц 
 Видеопроцессор: Mali-G7610 MC6 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 128 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1900, 900, 850, 1800 
 Диапазоны LTE: 20, 28, 3, 2, 1, 5, 38, 4, 40, 41, 8, 7 
 Bluetooth: 5.3 
 Wi-Fi (802.11): g, n, b, ac, a 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.67"" 
 Разрешение дисплея: 2712х1220 
 Контрастность: 5 000 000:1 
 Соотношение сторон: 20:9 
 Яркость (кд/м²): 500 нит 
 Частота обновления: 120 Гц 
 Фотокамера (Мп): 108 + 8 + 2 
 Апертура: f/1.7 + f/2,2 + f/2.4 
 Фронтальная камера (Мп): 20 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: сканер отпечатка пальца на передней панели, распознавание лица 
 Быстрая зарядка: 120 Вт 
 Тип разъема для зарядки: USB Type-C 
 Емкость аккумулятора (мА*ч): 5000 
 Материал: Пластик, Стекло 
 Высота (мм): 163,1 
 Ширина (мм): 75,9 
 Толщина (мм): 8,6 
 Вес (г): 202 
 Версия MIUI: 13 
 Версия Android: 12 
 Страна производитель: Китай "
 Xiaomi 12T 8/128GB (синий) , 36 990 ₽ ," Процессор: MediaTek Dimensity 8100 Ultra 
 Количество ядер процессора: 8 
 Частота: 2,85 ГГц 
 Видеопроцессор: Mali-G7610 MC6 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 128 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1900, 900, 850, 1800 
 Диапазоны LTE: 20, 28, 3, 2, 1, 5, 38, 4, 40, 41, 8, 7 
 Bluetooth: 5.3 
 Wi-Fi (802.11): g, n, b, ac, a 
 ИК-порт: Да 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.67"" 
 Разрешение дисплея: 2712х1220 
 Контрастность: 5 000 000:1 
 Соотношение сторон: 20:9 
 Яркость (кд/м²): 500 нит 
 Частота обновления: 120 Гц 
 Фотокамера (Мп): 108 + 8 + 2 
 Апертура: f/1.7 + f/2,2 + f/2.4 
 Фронтальная камера (Мп): 20 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: сканер отпечатка пальца на передней панели, распознавание лица 
 Быстрая зарядка: 120 Вт 
 Тип разъема для зарядки: USB Type-C 
 Емкость аккумулятора (мА*ч): 5000 
 Материал: Пластик, Стекло 
 Высота (мм): 163,1 
 Ширина (мм): 75,9 
 Толщина (мм): 8,6 
 Вес (г): 202 
 Версия MIUI: 13 
 Версия Android: 12 
 Страна производитель: Китай "
 Xiaomi 13 Lite 8/256GB (голубой) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 Xiaomi 13 Lite 8/256GB (розовый) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 Xiaomi 13 Lite 8/256GB (черный) , 38 990 ₽ ," Процессор: Snapdragon 7 Gen 1 
 Количество ядер процессора: 8 
 Частота: 2,4 ГГц 
 Видеопроцессор: Qualcomm® Adreno 644 
 Слот для карты памяти: Отсутствует 
 Оперативная память (ГБ): 8 
 Встроенная память (ГБ): 256 
 Спутниковая навигация: GPS, ГЛОНАСС, Galileo, BeiDou, A-GPS 
 Интернет: GPRS, 5G, 4G, 3G 
 Диапазоны GSM: 1800, 900, 850, 1900 
 Диапазоны LTE: 5, 28, 20, 2, 1, 41, 3, 38, 4, 40, 8, 7 
 Bluetooth: 5.2 
 Wi-Fi (802.11): ac, n, g, b, a, 5 ГГц (до 867 Мб/сек), 2.4 ГГц (до 574 Мб/сек) 
 ИК-порт: Да 
 SIM-карта: e-SIM, nano-SIM 
 Кол-во SIM-карт: две nano-SIM, Dual Standby 
 NFC: Да 
 Тип дисплея: AMOLED 
 Диагональ экрана: 6.55"" 
 Разрешение дисплея: 2400 x 1080 
 Плотность пикселей (PPI): 402 
 Частота обновления: 120 Гц 
 Яркость (кд/м²): до 1000нит 
 Соотношение сторон: 20:9 
 Контрастность: 5 000 000:1 
 Фотокамера (Мп): 50 + 8 + 2 
 Апертура: ƒ/1.8 + ƒ/2.2 + ƒ/2.4 
 Вспышка: Двойная вспышка 
 Фронтальная камера (Мп): 32 + 8 
 Видеозапись: Да 
Разрешение видеосъемки (пикс): 4K 
 Частота кадров видеосъемки: 30fps 
 Способ разблокировки: встроенный в экран сканер отпечатка пальца 
 Быстрая зарядка: да, 67 Вт (67 Вт адаптер в комплекте) 
 Тип разъема для зарядки: USB Type-C 
 Беспроводная зарядка: Нет 
 Разъемы: USB Type-C 
 Емкость аккумулятора (мА*ч): 4500 мА·ч 
 Версия MIUI: 14 
 Версия Android: 12 
 Материал: Металл, Стекло 
 Высота (мм): 159,2 
 Ширина (мм): 72,7 
 Толщина (мм): 7,23 
 Вес (г): 171 
 Материал: Рамка из алюминия 
 Гарантия (мес): 12 
 Страна производитель: Китай "
 Xiaomi Redmi 10A 2/32GB (синий) , 7 490 ₽ ," Процессор: MediaTek Helio G25 
 Количество ядер процессора: 8 
 Частота: 2.0 ГГц 
 Видеопроцессор: PowerVR8320 
Максимальный объем карты памяти: до 1 TБ 
 Оперативная память (ГБ): 2 
 Встроенная память (ГБ): 32 
 Спутниковая навигация: GPS, ГЛОНАСС, BeiDou, A-GPS 
 Интернет: EDGE, GPRS, 4G, 3G 
 Диапазоны LTE: 850, 1, 1800, 20, 2100, 3, 38, 4, 40, 41, 5, 7, 8, 900 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, ac, a 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 Диагональ экрана: 6.53” HD+ Dot Drop 
 Разрешение дисплея: 1600 x 720 HD+ 
 Соотношение сторон: 20:9 
 Частота обновления: 90 Гц 
 Фотокамера (Мп): 13+13+2 
 Апертура: f/2.2 + f/2.2 + f/2.4 
 Фронтальная камера (Мп): 5 
 Разрешение видеосъемки (пикс): 1080 
 Частота кадров видеосъемки: 30 
 Способ разблокировки: сканер отпечатка пальца на задней панели 
 Быстрая зарядка: 10 Вт 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Версия MIUI: 12,5 
 Версия Android: 11 
 Материал: Пластик 
 Высота (мм): 164,9 
 Ширина (мм): 77 
 Толщина (мм): 9,0 
 Вес (г): 194 
 Гарантия (мес): 12 "
 Xiaomi Redmi 10A 2/32GB (серый) , 7 490 ₽ ," Процессор: MediaTek Helio G25 
 Количество ядер процессора: 8 
 Частота: 2.0 ГГц 
 Видеопроцессор: PowerVR8320 
Максимальный объем карты памяти: до 1 TБ 
 Оперативная память (ГБ): 2 
 Встроенная память (ГБ): 32 
 Спутниковая навигация: GPS, ГЛОНАСС, BeiDou, A-GPS 
 Интернет: EDGE, GPRS, 4G, 3G 
 Диапазоны LTE: 850, 1, 1800, 20, 2100, 3, 38, 4, 40, 41, 5, 7, 8, 900 
 Bluetooth: 5.0 
 Wi-Fi (802.11): n, g, b, ac, a 
 SIM-карта: nano-SIM 
 Кол-во SIM-карт: 2 
 Диагональ экрана: 6.53” HD+ Dot Drop 
 Разрешение дисплея: 1600 x 720 HD+ 
 Соотношение сторон: 20:9 
 Частота обновления: 90 Гц 
 Фотокамера (Мп): 13+13+2 
 Апертура: f/2.2 + f/2.2 + f/2.4 
 Фронтальная камера (Мп): 5 
 Разрешение видеосъемки (пикс): 1080 
 Частота кадров видеосъемки: 30 
 Способ разблокировки: сканер отпечатка пальца на задней панели 
 Быстрая зарядка: 10 Вт 
 Тип разъема для зарядки: Micro-USB 
 Емкость аккумулятора (мА*ч): 5000 
 Аудиоразъем: 3.5 мм 
 Версия MIUI: 12,5 
 Версия Android: 11 
 Материал: Пластик 
 Высота (мм): 164,9 
 Ширина (мм): 77 
 Толщина (мм): 9,0 
 Вес (г): 194 
 Гарантия (мес): 12 "
